Author;Type of resin;Isophtalic polyester resin;Orthophtalic polyester resin;Vinylester resin;Phenolic resin;Epoxy resin;Type of fiber;Glass fiber;Carbon fiber;Basalt fiber;Manufacturing process;Pultrusion;Hand lay-up;Filament winding;VARTM;Fiber volume fraction;Profile thickness (mm);Coupon description;Aging effect;Steady condition;Cyclic condition;Immersion;Moisture;Presence of salts;Salt concentration (g/L);pH;Relative humidity;Sustained loading;Exposure time (hours);Exposure time (days);log10(t);Min. exposure temperature (°C);Max. exposure temperature (°C);Avg. exposure temperature (°C);Temperature range (°C);Temperature x time;k(T);1/T (Kelvin);Unaged elastic modulus (GPa);Residual elastic modulus (GPa);Elastic modulus retention
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;2688;112;2.053;55;55;55;0;884.7;115.115;0;24.9;23.2;0.931
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;3360;140;2.149;55;55;55;0;897;115.115;0;24.9;22.2;0.891
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;4032;168;2.228;55;55;55;0;907;115.115;0;24.9;22.2;0.891
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;0;0;0;70;70;70;0;0;382.835;0;24.9;24.9;1
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;672;28;1.462;70;70;70;0;1028.9;382.835;0;24.9;22.9;0.922
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;1644;68.5;1.842;70;70;70;0;1091.6;382.835;0;24.9;23.3;0.937
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;2016;84;1.929;70;70;70;0;1105.8;382.835;0;24.9;18.9;0.76
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;2688;112;2.053;70;70;70;0;1126;382.835;0;24.9;23.5;0.943
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;3360;140;2.149;70;70;70;0;1141.6;382.835;0;24.9;21.2;0.85
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;demineralised water;1;0;1;0;0;0;7;1;0;4032;168;2.228;70;70;70;0;1154.3;382.835;0;24.9;24.1;0.969
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;0;0;0;35;35;35;0;0;19.331;0;24.9;24.9;1
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;672;28;1.462;35;35;35;0;514.5;19.331;0;24.9;22.8;0.915
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;1644;68.5;1.842;35;35;35;0;545.8;19.331;0;24.9;24;0.963
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2016;84;1.929;35;35;35;0;552.9;19.331;0;24.9;21.8;0.876
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2688;112;2.053;35;35;35;0;563;19.331;0;24.9;21.7;0.871
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;3360;140;2.149;35;35;35;0;570.8;19.331;0;24.9;22.4;0.9
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;4032;168;2.228;35;35;35;0;577.2;19.331;0;24.9;21.2;0.854
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;0;0;0;55;55;55;0;0;115.115;0;24.9;24.9;1
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;672;28;1.462;55;55;55;0;808.4;115.115;0;24.9;19.5;0.782
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;1644;68.5;1.842;55;55;55;0;857.6;115.115;0;24.9;24.9;1
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2016;84;1.929;55;55;55;0;868.9;115.115;0;24.9;22.9;0.919
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2688;112;2.053;55;55;55;0;884.7;115.115;0;24.9;24;0.963
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;3360;140;2.149;55;55;55;0;897;115.115;0;24.9;22.7;0.91
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;4032;168;2.228;55;55;55;0;907;115.115;0;24.9;21.7;0.87
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;0;0;0;70;70;70;0;0;382.835;0;24.9;24.9;1
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;672;28;1.462;70;70;70;0;1028.9;382.835;0;24.9;24.4;0.98
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;1644;68.5;1.842;70;70;70;0;1091.6;382.835;0;24.9;23.3;0.938
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2016;84;1.929;70;70;70;0;1105.8;382.835;0;24.9;24;0.966
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;2688;112;2.053;70;70;70;0;1126;382.835;0;24.9;23.2;0.931
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;3360;140;2.149;70;70;70;0;1141.6;382.835;0;24.9;25.9;1.04
Vieira (2023);Vinylester;0;0;1;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.48;6.3;plate;hygrothermal chamber;1;0;0;1;0;0;7;0.95;0;4032;168;2.228;70;70;70;0;1154.3;382.835;0;24.9;21.2;0.85
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;0;0;0;20;20;20;0;0;4.322;0;22.8;22.8;1
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;360;15;1.204;20;20;20;0;281.5;4.322;0;22.8;22.1;0.972
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;720;30;1.491;20;20;20;0;295.4;4.322;0;22.8;21.8;0.958
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;1440;60;1.785;20;20;20;0;309.2;4.322;0;22.8;21.5;0.945
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;2160;90;1.959;20;20;20;0;317.3;4.322;0;22.8;20.6;0.907
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;demineralised water;1;0;1;0;0;0;7;1;0;4320;180;2.258;20;20;20;0;331.2;4.322;0;22.8;18.8;0.826
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;0;0;0;20;20;20;0;0;4.322;0;22.8;22.8;1
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;360;15;1.204;20;20;20;0;281.5;4.322;0;22.8;23.1;1.014
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;720;30;1.491;20;20;20;0;295.4;4.322;0;22.8;23.5;1.034
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;1440;60;1.785;20;20;20;0;309.2;4.322;0;22.8;24.3;1.068
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;2160;90;1.959;20;20;20;0;317.3;4.322;0;22.8;24.6;1.081
Yang et al. (2018);Polyester;1;0;0;0;0;Glass;1;0;0;Pultrusion;1;0;0;0;0.6;2.7;plate;salt water;1;0;1;0;1;35;7;1;0;4320;180;2.258;20;20;20;0;331.2;4.322;0;22.8;20.2;0.89
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;0;0;0;24;24;24;0;0;6.541;0;15.4;15.4;1
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;540;22.5;1.371;24;24;24;0;347.5;6.541;0;15.4;14.5;0.94
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1080;45;1.663;24;24;24;0;364.2;6.541;0;15.4;13.6;0.88
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;1620;67.5;1.836;24;24;24;0;373.9;6.541;0;15.4;13.1;0.85
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;2160;90;1.959;24;24;24;0;380.8;6.541;0;15.4;12.6;0.82
Guermazi et al. (2016);Epoxy;0;0;0;0;1;Glass;1;0;0;Hand lay-up;0;1;0;0;0.31;4;dogbone;distilled water;1;0;1;0;0;0;7;1;0;0;0;0;70;70;70;0;0;382.835;0;15.4;15.4;1
