Author;Type of resin;Isophtalic polyester resin;Orthophtalic polyester resin;Vinylester resin;Phenolic resin;Epoxy resin;Type of fiber;Glass fiber;Carbon fiber;Basalt fiber;Manufacturing process;Pultrusion;Hand lay-up;Filament winding;VARTM;Fiber volume fraction;Profile thickness (mm);Coupon description;Aging effect;Steady condition;Cyclic condition;Immersion;Moisture;Presence of salts;Salt concentration (g/L);pH;Relative humidity;Sustained loading;Exposure time (hours);Exposure time (days);log10(t);Min. exposure temperature (°C);Max. exposure temperature (°C);Avg. exposure temperature (°C);Temperature range (°C);Temperature x time;k(T);1/T (Kelvin);Unaged elastic modulus (GPa);Residual elastic modulus (GPa);Elastic modulus retention
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;tap water;-;-;-;-;-;0;7.5;1;-;4320;180;2.258;-;-;50;-;828;75.233;3.095;60.4;57.9;0.96
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;tap water;-;-;-;-;-;0;7.5;1;-;8640;360;2.558;-;-;23;-;396.8;5.903;3.377;60.4;59.6;0.99
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;tap water;-;-;-;-;-;0;7.5;1;-;8640;360;2.558;-;-;50;-;862.6;75.233;3.095;60.4;60.2;1
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;tap water;-;-;-;-;-;0;7.5;1;-;12960;540;2.733;-;-;23;-;406.1;5.903;3.377;60.4;58;0.96
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;tap water;-;-;-;-;-;0;7.5;1;-;12960;540;2.733;-;-;50;-;882.9;75.233;3.095;60.4;58.6;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;4320;180;2.258;-;-;23;-;380.9;5.903;3.377;60.4;60.9;1.01
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;4320;180;2.258;-;-;50;-;828;75.233;3.095;60.4;58.6;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;8640;360;2.558;-;-;23;-;396.8;5.903;3.377;60.4;57.6;0.95
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;8640;360;2.558;-;-;50;-;862.6;75.233;3.095;60.4;58.5;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;12960;540;2.733;-;-;23;-;406.1;5.903;3.377;60.4;58.7;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;seawater;-;-;-;-;-;35;8.5;1;-;12960;540;2.733;-;-;50;-;882.9;75.233;3.095;60.4;58.6;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;alkaline solution (pH = 12.8);-;-;-;-;-;0;12.8;1;-;4320;180;2.258;-;-;50;-;828;75.233;3.095;60.4;58.2;0.96
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;alkaline solution (pH = 12.8);-;-;-;-;-;0;12.8;1;-;8640;360;2.558;-;-;50;-;862.6;75.233;3.095;60.4;58.7;0.97
Al-Salloum et al. (2013);Vinylester;0;0;1;0;0;Glass;1;0;0;-;-;-;-;-;0.83;12;rebar;alkaline solution (pH = 12.8);-;-;-;-;-;0;12.8;1;-;12960;540;2.733;-;-;50;-;882.9;75.233;3.095;60.4;59.6;0.99
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;control;-;-;-;-;-;0;7.5;1;-;0;0;0;-;-;23;-;0;5.903;3.377;55;55;1
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;720;30;1.491;-;-;60;-;886.1;173.906;3.002;55;56.5;1.03
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;1440;60;1.785;-;-;60;-;927.7;173.906;3.002;55;54.8;1
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;2160;90;1.959;-;-;60;-;952;173.906;3.002;55;53.4;0.97
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;2880;120;2.083;-;-;60;-;969.3;173.906;3.002;55;54.4;0.99
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;4320;180;2.258;-;-;60;-;993.6;173.906;3.002;55;54.1;0.98
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;10080;420;2.624;-;-;60;-;1044.4;173.906;3.002;55;54.7;0.99
Sawpan et al. (2014);Epoxy;0;0;0;0;1;Glass;1;0;0;-;-;-;-;-;;14;rebar;concrete pore solution;-;-;-;-;-;0;13;1;-;17280;720;2.858;-;-;60;-;1076.8;173.906;3.002;55;57.2;1.04
